image_file_name,sigmaD,sigmaI,threshold,min_element_size;
sector's_number,segments'_count,length_EV,length_SD,thickness_EV,thickness_SD,minR_EV,minR_SD,meanR_EV,meanR_SD,maxR_EV,maxR_SD,minG_EV,minG_SD,meanG_EV,meanG_SD,maxG_EV,maxG_SD,minB_EV,minB_SD,meanB_EV,meanB_SD,maxB_EV,maxB_SD;
total,length_EV,length_SD,thickness_EV,thickness_SD,minR_EV,minR_SD,meanR_EV,meanR_SD,maxR_EV,maxR_SD,minG_EV,minG_SD,meanG_EV,meanG_SD,maxG_EV,maxG_SD,minB_EV,minB_SD,meanB_EV,meanB_SD,maxB_EV,maxB_SD;

imgonline-com-ua-Resize-s5KKyXKLUm4SStH1.png,10,15,127,11;
1,72,21,6,4,1,3,3,32,16,72,21,3,3,32,16,72,21,3,3,32,16,72,21;
2,134,19,7,5,2,3,3,39,21,88,34,3,3,39,21,88,34,3,3,39,21,88,34;
3,203,15,4,3,1,16,14,58,23,103,29,16,14,58,23,103,29,16,14,58,23,103,29;
4,236,13,4,3,1,19,12,58,20,99,27,19,12,58,20,99,27,19,12,58,20,99,27;
5,120,20,8,4,1,3,3,38,20,89,35,3,3,38,20,89,35,3,3,38,20,89,35;
6,83,20,7,4,2,2,2,29,17,73,29,2,2,29,17,73,29,2,2,29,17,73,29;
7,55,21,10,6,4,2,2,25,11,69,24,2,2,25,11,69,24,2,2,25,11,69,24;
8,25,22,10,5,2,1,0,21,10,63,28,1,0,21,10,63,28,1,0,21,10,63,28;
total,18,3,4,1,6,6,37,13,82,13,6,6,37,13,82,13,6,6,37,13,82,13;

imgonline-com-ua-Resize-V8mrx63uOqvnA5R.png,10,15,122,11;
1,125,19,5,4,2,6,4,40,14,84,21,6,4,40,14,84,21,6,4,40,14,84,21;
2,137,18,6,4,2,5,3,39,16,84,25,5,3,39,16,84,25,5,3,39,16,84,25;
3,127,19,6,4,1,5,4,41,14,91,23,5,4,41,14,91,23,5,4,41,14,91,23;
4,124,20,5,4,1,5,4,42,17,91,23,5,4,42,17,91,23,5,4,42,17,91,23;
5,127,19,5,4,2,5,4,40,15,84,21,5,4,40,15,84,21,5,4,40,15,84,21;
6,122,19,5,4,2,5,5,43,17,87,25,5,5,43,17,87,25,5,5,43,17,87,25;
7,126,19,4,4,2,5,4,45,18,92,25,5,4,45,18,92,25,5,4,45,18,92,25;
8,134,20,5,4,1,5,4,42,11,91,17,5,4,42,11,91,17,5,4,42,11,91,17;
total,19,0,4,0,5,0,41,1,88,3,5,0,41,1,88,3,5,0,41,1,88,3;

imgonline-com-ua-Resize-3r9FwPqB2DpLi.png,10,15,114,11;
1,138,23,2,5,2,5,2,43,9,85,12,5,2,43,9,85,12,5,2,43,9,85,12;
2,130,23,2,5,2,4,2,37,9,79,14,4,2,37,9,79,14,4,2,37,9,79,14;
3,138,23,2,5,1,4,3,40,10,86,18,4,3,40,10,86,18,4,3,40,10,86,18;
4,124,23,2,5,3,5,2,43,9,88,16,5,2,43,9,88,16,5,2,43,9,88,16;
5,133,23,2,5,2,4,2,39,8,81,13,4,2,39,8,81,13,4,2,39,8,81,13;
6,133,23,3,5,2,4,2,41,10,85,17,4,2,41,10,85,17,4,2,41,10,85,17;
7,144,23,2,5,1,4,2,39,11,78,15,4,2,39,11,78,15,4,2,39,11,78,15;
8,135,23,2,5,2,5,2,39,9,81,16,5,2,39,9,81,16,5,2,39,9,81,16;
total,23,0,5,0,4,0,40,1,82,3,4,0,40,1,82,3,4,0,40,1,82,3;

network3_rest.png,10,15,97,11;
1,71,12,5,5,2,84,14,91,15,100,16,32,16,39,19,48,21,13,8,20,11,28,15;
2,122,13,5,5,1,85,15,91,16,100,17,36,19,43,21,53,24,13,10,21,13,31,17;
3,97,13,6,5,2,88,17,94,17,102,18,39,22,47,24,56,26,18,17,26,21,35,24;
4,37,13,6,5,3,82,9,89,10,96,11,31,12,38,14,47,15,11,5,18,8,27,11;
5,69,14,7,5,2,83,10,90,12,98,13,31,13,39,15,48,17,11,6,18,8,26,12;
6,85,15,7,6,3,83,12,89,14,98,16,31,15,38,18,47,21,11,7,19,10,30,16;
7,84,14,6,5,1,92,16,97,16,105,17,40,19,47,20,56,22,16,11,23,13,33,17;
8,78,12,6,5,2,89,19,95,19,102,19,40,21,46,23,53,24,16,13,23,15,31,18;
total,13,1,5,0,85,3,92,2,100,2,35,3,42,3,51,3,13,2,21,2,30,2;